"","id","name","type","n","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","ICC1","ICC2"
"37","protest_containment_measures","protest_containment_measures","numeric",6556,8,2.09594264795607,1,1,NA,1.62468806250549,NA,1,7,6,1.50019462649071,24.8005201784474,1.32940075273294,10.9901918105237,0.706557310349381,0.810328695247417
"38","proximity_corona","proximity_corona","numeric",40730,3,0.225362140928063,0,0,NA,0.417825720365462,NA,0,1,1,1.31457257319136,54.1566939508253,-0.271905623811782,-5.60101109123408,0.584463022219142,0.713929780839207
"39","punishing_deviation","punishing_deviation","numeric",32316,12,4.11852333209556,4.6,4.6,NA,1.79474219575716,NA,1,7,6,-0.11518221042561,-4.22677124953601,-0.881439879219973,-16.1733308776102,0.480613229089582,0.621481082569696
"40","punishing_deviation","punishing_deviation_b","numeric",8087,7,3.94353901323111,3.4,3.4,NA,1.80949005411164,NA,1,7,6,-0.0282777783467869,-0.5191751765752,-0.909897348062029,-8.35381179250118,0.480613229089582,0.621481082569696
"41","quarantine","quarantine","numeric",31353,8,5.58507957771186,6,6,NA,1.6263187302861,NA,1,7,6,-1.17659012736796,-42.5284844617878,0.61409415304833,11.0987360090512,0.495842859126599,0.635710977952173
"42","religious","religious","numeric",42785,3,0.543578356900783,1,1,NA,0.498103127603385,NA,0,1,1,-0.174973156934708,-7.38799852526162,-1.9694304235753,-41.5792037367668,NA,NA
"43","risk_perception_infect","risk_perception_infect","numeric",36424,9,2.97245928900882,3.57142857142857,3.57142857142857,NA,1.19423254873995,NA,1,7,6,0.141509414758828,5.51304346576882,-0.0294979481312669,-0.574618778158711,0.680820488663832,0.791001104389653
"44","social_contact_friendsandfamily","social_contact_friendsandfamily","numeric",42770,9,3.03394902969371,2,2,NA,2.33659407372006,NA,1,8,7,0.951720993985848,40.17805271928,-0.387970423180827,-8.18951174205465,0.468877382831188,0.610347649331326
"45","social_contact_others","social_contact_others","numeric",42626,9,3.13817857645568,2,2,NA,2.29111827468904,NA,1,8,7,0.841989225016877,35.4857088730956,-0.523979941708094,-11.0418490198698,0.50496804227481,0.644121552955572
"46","tightness","tightness","numeric",33870,18,-0.133980513728964,-0.14,-0.14,NA,0.310828676197054,NA,-0.54,0.62,1.16,0.658054290576624,24.721962022776,-0.2514208635986,-4.72286299468798,NA,NA
"47","time","time","numeric",43056,9,3.05650780379041,0,0,NA,3.78532490344336,NA,0,11,11,0.721483621704212,30.559963090922,-0.985147680232407,-20.8644901631941,NA,NA
"48","trust_government","trust_government","numeric",42689,6,4.09634800534095,4,4,NA,1.87395786039804,NA,1,7,6,-0.176792477990122,-7.45643802246406,-0.909206905567419,-19.1739032119673,0.757546957423684,0.847186530727409
"49","wash_hands","wash_hands","numeric",31366,8,6.15637951922464,7,7,NA,1.24997635505395,NA,1,7,6,-1.93916001686104,-70.1065125661961,3.9615162722158,71.6126931811899,0.708535854769965,0.811793933038146
"50","willingness_vaccinated","willingness_vaccinated","numeric",4932,6,5.26186131386861,5.5,5.5,NA,1.86817404093935,NA,1,7,6,-0.917545696686326,-13.1572656243043,-0.11245219498048,-0.80642465069002,0.771251682443587,0.85678227514237
