"param","avoid_crowd_est_sig_mean","avoid_crowd_pval_mean","avoid_crowd_confint_mean","avoid_crowd_est_sig_var","avoid_crowd_pval_var","avoid_crowd_confint_var","contain_protest_est_sig_mean","contain_protest_pval_mean","contain_protest_confint_mean","contain_protest_est_sig_var","contain_protest_pval_var","contain_protest_confint_var","days_left_house_est_sig_mean","days_left_house_pval_mean","days_left_house_confint_mean","days_left_house_est_sig_var","days_left_house_pval_var","days_left_house_confint_var","face_mask_est_sig_mean","face_mask_pval_mean","face_mask_confint_mean","face_mask_est_sig_var","face_mask_pval_var","face_mask_confint_var","frienfam_est_sig_mean","frienfam_pval_mean","frienfam_confint_mean","frienfam_est_sig_var","frienfam_pval_var","frienfam_confint_var","mandatory_quarantine_est_sig_mean","mandatory_quarantine_pval_mean","mandatory_quarantine_confint_mean","mandatory_quarantine_est_sig_var","mandatory_quarantine_pval_var","mandatory_quarantine_confint_var","mandatory_vaccination_est_sig_mean","mandatory_vaccination_pval_mean","mandatory_vaccination_confint_mean","mandatory_vaccination_est_sig_var","mandatory_vaccination_pval_var","mandatory_vaccination_confint_var","quarantine_est_sig_mean","quarantine_pval_mean","quarantine_confint_mean","quarantine_est_sig_var","quarantine_pval_var","quarantine_confint_var","social_contact_others_est_sig_mean","social_contact_others_pval_mean","social_contact_others_confint_mean","social_contact_others_est_sig_var","social_contact_others_pval_var","social_contact_others_confint_var","wash_hands_est_sig_mean","wash_hands_pval_mean","wash_hands_confint_mean","wash_hands_est_sig_var","wash_hands_pval_var","wash_hands_confint_var","willingness_vaccinated_est_sig_mean","willingness_vaccinated_pval_mean","willingness_vaccinated_confint_mean","willingness_vaccinated_est_sig_var","willingness_vaccinated_pval_var","willingness_vaccinated_confint_var"
"preference_tightness","0.04***",0,"[ 0.02,  0.06]","0.00",0.97,"[-0.06,  0.06]",NA,NA,NA,NA,NA,NA,"-0.00",0.64,"[-0.02,  0.01]","0.00",0.93,"[-0.03,  0.04]",NA,NA,NA,NA,NA,NA,"-0.05",0.08,"[-0.11,  0.01]","0.01",0.92,"[-0.24,  0.26]","0.08**",0,"[ 0.03,  0.13]","0.00",0.98,"[-0.14,  0.15]","0.02",0.43,"[-0.03,  0.08]","0.00",0.92,"[-0.08,  0.09]","0.00",0.95,"[-0.05,  0.05]","0.01",0.94,"[-0.15,  0.16]","-0.06*",0.04,"[-0.11, -0.00]","0.10",0.1,"[-0.02,  0.23]","0.01",0.42,"[-0.02,  0.05]","0.00",0.96,"[-0.06,  0.07]",NA,NA,NA,NA,NA,NA
"proximity_corona","-0.02",0.49,"[-0.09,  0.04]","0.01",0.94,"[-0.19,  0.21]","0.01",0.94,"[-0.21,  0.23]","0.06",0.83,"[-0.46,  0.57]","-0.03",0.42,"[-0.10,  0.04]","0.03",0.38,"[-0.04,  0.11]","0.30*",0.05,"[ 0.00,  0.59]","0.01",0.99,"[-3.04,  3.07]","0.06",0.58,"[-0.14,  0.26]","0.07",0.82,"[-0.58,  0.73]","-0.06",0.08,"[-0.14,  0.01]","0.02",0.87,"[-0.23,  0.27]","-0.00",0.96,"[-0.11,  0.11]","0.01",0.93,"[-0.28,  0.31]","-0.04",0.4,"[-0.15,  0.06]","0.04",0.75,"[-0.20,  0.28]","-0.03",0.73,"[-0.18,  0.13]","0.06",0.78,"[-0.38,  0.51]","-0.02",0.63,"[-0.11,  0.07]","0.01",0.95,"[-0.21,  0.23]",NA,NA,NA,NA,NA,NA
"punishing_deviation","0.01",0.68,"[-0.03,  0.04]","0.03",0.54,"[-0.06,  0.11]",NA,NA,NA,NA,NA,NA,"0.01",0.41,"[-0.01,  0.03]","0.02",0.48,"[-0.03,  0.07]",NA,NA,NA,NA,NA,NA,"-0.01",0.78,"[-0.10,  0.07]","0.01",0.92,"[-0.18,  0.20]","0.02",0.21,"[-0.01,  0.05]","0.03",0.53,"[-0.06,  0.12]","-0.00",0.98,"[-0.06,  0.06]","0.01",0.9,"[-0.16,  0.18]","0.01",0.54,"[-0.03,  0.06]","0.01",0.86,"[-0.08,  0.09]","-0.02",0.57,"[-0.08,  0.04]","0.04",0.73,"[-0.18,  0.25]","0.03",0.18,"[-0.01,  0.07]","0.04",0.23,"[-0.03,  0.11]","0.06",0.61,"[-0.17,  0.29]","0.00",0.99,"[-0.96,  0.97]"
"quarantine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.06***",0,"[ 0.96,  1.17]","0.28***",0,"[ 0.20,  0.35]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"religious","-0.00",0.91,"[-0.07,  0.06]","0.01",0.86,"[-0.11,  0.13]","0.15***",0,"[ 0.07,  0.23]","0.30",0.09,"[-0.04,  0.64]","-0.04",0.18,"[-0.11,  0.02]","0.02",0.42,"[-0.02,  0.06]","0.07",0.46,"[-0.12,  0.26]","0.03",0.97,"[-1.57,  1.63]","0.02",0.86,"[-0.16,  0.20]","0.10",0.69,"[-0.39,  0.59]","0.04",0.2,"[-0.02,  0.11]","0.00",0.98,"[-0.28,  0.29]","-0.03",0.59,"[-0.13,  0.08]","0.01",0.95,"[-0.29,  0.31]","0.02",0.74,"[-0.10,  0.14]","0.01",0.96,"[-0.32,  0.34]","-0.11",0.1,"[-0.24,  0.02]","0.03",0.83,"[-0.26,  0.33]","-0.00",0.87,"[-0.06,  0.05]","0.00",0.97,"[-0.25,  0.26]","-0.08",0.11,"[-0.18,  0.02]","0.16",0.66,"[-0.57,  0.90]"
"risk_perception_infect","0.06**",0,"[ 0.03,  0.10]","0.05",0.13,"[-0.01,  0.11]",NA,NA,NA,NA,NA,NA,"0.03",0.11,"[-0.01,  0.07]","0.01",0.51,"[-0.02,  0.04]",NA,NA,NA,NA,NA,NA,"-0.05",0.2,"[-0.13,  0.03]","0.02",0.9,"[-0.27,  0.31]","0.04",0.1,"[-0.01,  0.08]","0.00",0.94,"[-0.12,  0.13]","0.04",0.11,"[-0.01,  0.10]","0.00",0.94,"[-0.11,  0.12]","0.03",0.23,"[-0.02,  0.09]","0.01",0.74,"[-0.06,  0.08]","0.01",0.64,"[-0.04,  0.06]","0.05",0.61,"[-0.13,  0.23]","0.05**",0,"[ 0.02,  0.09]","0.02",0.4,"[-0.03,  0.07]","0.10",0.5,"[-0.19,  0.38]","0.02",0.98,"[-2.25,  2.29]"
"social_contact_others",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.12***",0,"[ 1.04,  1.21]","0.45***",0,"[ 0.34,  0.57]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIGHTNESS","0.00",0.87,"[-0.05,  0.06]",NA,NA,NA,"0.01",0.69,"[-0.06,  0.09]",NA,NA,NA,"-0.04*",0.04,"[-0.07, -0.00]",NA,NA,NA,"0.07",0.56,"[-0.17,  0.31]",NA,NA,NA,"-0.02",0.77,"[-0.17,  0.13]",NA,NA,NA,"0.01",0.75,"[-0.05,  0.07]",NA,NA,NA,"0.00",1,"[-0.10,  0.10]",NA,NA,NA,"-0.06",0.24,"[-0.16,  0.04]",NA,NA,NA,"-0.02",0.67,"[-0.10,  0.06]",NA,NA,NA,"-0.03",0.21,"[-0.08,  0.02]",NA,NA,NA,"0.02",0.81,"[-0.17,  0.21]",NA,NA,NA
"trust_government","0.03",0.06,"[ 0.00,  0.06]","0.00",0.98,"[-0.07,  0.07]","-0.04",0.37,"[-0.14,  0.05]","0.01",0.9,"[-0.17,  0.20]","0.01",0.27,"[-0.01,  0.03]","0.00",0.93,"[-0.03,  0.03]","-0.06",0.15,"[-0.15,  0.02]","0.10",0.69,"[-0.39,  0.60]","0.05",0.2,"[-0.02,  0.12]","0.01",0.9,"[-0.18,  0.20]","0.08**",0,"[ 0.02,  0.13]","0.00",0.95,"[-0.10,  0.11]","0.07*",0.01,"[ 0.01,  0.13]","0.01",0.87,"[-0.13,  0.15]","0.00",0.92,"[-0.05,  0.06]","0.00",0.94,"[-0.08,  0.09]","0.04",0.19,"[-0.02,  0.10]","0.02",0.86,"[-0.16,  0.20]","0.03",0.14,"[-0.01,  0.08]","0.00",0.99,"[-0.17,  0.18]","-0.04",0.31,"[-0.12,  0.04]","0.00",1,"[-1.80,  1.80]"
"wash_hands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.80***",0,"[ 0.54,  1.06]","0.19**",0,"[ 0.07,  0.31]",NA,NA,NA,NA,NA,NA
